type,name,name_en,iata,lat,lon,osm_id
Airport,甘孜格萨尔机场,Garzê Gesar Airport,GZG,31.7557545,99.5544048,node/7117203123
Airport,朔州滋润机场,Shuozhou Zirun Airport,SZH,39.2725765,112.6887791,node/11411964046
Airport,长春龙嘉国际机场,Changchun Longjia International Airport,CGQ,43.9965172,125.6854512,way/41130394
Airport,北海福成机场,Beihai Fucheng Airport,BHY,21.5393624,109.2933913,way/84527473
Airport,常德桃花源机场,Changde Taohuayuan Airport,CGD,28.9187886,111.63861,way/88313850
Airport,三亚凤凰国际机场,Sanya Phoenix International Airport,SYX,18.3053383,109.414719,way/92742740
Airport,大连周水子国际机场,Dalian Zhoushuizi International Airport,DLC,38.9641247,121.5379963,way/93166761
Airport,昌都邦达机场,Bangda Airport,BPX,30.5523734,97.1096038,way/101968188
Airport,喀什徕宁国际机场 قەشقەر لەينىڭ خەلقئارا ئايروپورتى,Kashgar Airport,KHG,39.5407582,76.0211175,way/102528860
Airport,和田昆冈机场 خوتەن ئايرودرومى,Hotan Kungang Airport,HTN,37.0236771,79.8634038,way/102544763
Airport,西双版纳嘎洒机场,Xishuangbanna Gasa Airport,JHG,21.9746685,100.76255,way/102685357
Airport,普洱思茅机场,Pu'er Simao Airport,SYM,22.7934522,100.9593367,way/102686999
Airport,重庆江北国际机场,Chongqing Jiangbei International Airport,CKG,29.7266639,106.6561949,way/103282476
Airport,格尔木机场,Golmud Airport,GOQ,36.4022654,94.7889494,way/103460874
Airport,潍坊南苑机场,Weifang Nanyuan Airport,WEF,36.6471598,119.1161908,way/107008585
Airport,威海大水泊国际机场,Weihai Dashuipo International Airport,WEH,37.1864149,122.2309891,way/107012117
Airport,天津滨海国际机场,Tianjin Binhai International Airport,TSN,39.1273446,117.3541809,way/107015361
Airport,揭阳潮汕国际机场,Jieyang Chaoshan International Airport,SWA,23.553393,116.5045614,way/116813693
Airport,信阳明港机场,Xinyang Minggang Airport,XAI,32.5410246,114.0791809,way/119264393
Airport,鄂尔多斯伊金霍洛机场,Ordos Ejin Horo Airport,DSN,39.4931555,109.860416,way/136205428
Airport,永州零陵机场,Yongzhou Lingling Airport,LLF,26.3389849,111.6104159,way/140160895
Airport,德宏芒市国际机场,Dehong Mangshi International Airport,LUM,24.399817,98.5311306,way/141056295
Airport,临沧机场,Lincang Airport,LNJ,23.7385139,100.0239046,way/141119572
Airport,大理凤仪机场,Dali Airport,DLU,25.649768,100.3198055,way/142382433
Airport,攀枝花保安营机场,Panzhihua Bao'an'ying Airport,PZI,26.5395751,101.798273,way/142447409
Airport,保山云瑞机场,Baoshan Yunduan Airport,BSD,25.0518801,99.16588,way/142693951
Airport,安顺黄果树机场,Anshun Huangguoshu Airport,AVA,26.2607945,105.8732277,way/143090444
Airport,长治王村机场,Changzhi Wangcun Airport,CIH,36.2470983,113.1257385,way/144287071
